codeleccion,deseleccion,coddepartamento,desdepartamento,coddistrito,desdistrito,codzona,deszona,codlocal,deslocal,mesa,tipo,id_credencial
231,PARTIDO CRUZADA NACIONAL,11,11-CENTRAL,17,17-LUQUE,0,0-LUQUE,1,1-CLUB DEPORTIVO BALDERRAMA,1,NORMAL,54851928
231,PARTIDO CRUZADA NACIONAL,11,11-CENTRAL,19,19-MARIANO R. ALONSO,0,0-MARIANO R. ALONSO,1,1-POLIDEPORTIVO MUNICIPAL DE MARIANO R. ALONSO,1,NORMAL,64804831
231,PARTIDO CRUZADA NACIONAL,11,11-CENTRAL,21,21-NUEVA ITALIA,0,0-NUEVA ITALIA,1,1-REGISTRO ELECTORAL DE NUEVA ITALIA,1,NORMAL,52655044
231,PARTIDO CRUZADA NACIONAL,11,11-CENTRAL,23,23-ÑEMBY,0,0-ÑEMBY,1,1-REGISTRO ELECTORAL DE ÑEMBY,1,NORMAL,39274694
231,PARTIDO CRUZADA NACIONAL,11,11-CENTRAL,25,25-SAN ANTONIO,0,0-SAN ANTONIO,1,1-ESC NRO 21 ENRIQUE LUXO PINO,1,NORMAL,54455518
231,PARTIDO CRUZADA NACIONAL,11,11-CENTRAL,27,27-SAN LORENZO,0,0-SAN LORENZO,1,1-ESC. BAS. 23 ESPAÑA,1,NORMAL,71010209
231,PARTIDO CRUZADA NACIONAL,11,11-CENTRAL,29,29-VILLA ELISA,0,0-VILLA ELISA,1,1-REGISTRO ELECTORAL DE VILLA ELISA,1,NORMAL,37911267
231,PARTIDO CRUZADA NACIONAL,11,11-CENTRAL,31,31-VILLETA,0,0-VILLETA,1,1-REGISTRO ELECTORAL DE VILLETA,1,NORMAL,85679103
231,PARTIDO CRUZADA NACIONAL,11,11-CENTRAL,33,33-YPACARAI,0,0-YPACARAI,1,1-REGISTRO ELECTORAL DE YPACARAI,1,NORMAL,21684229
231,PARTIDO CRUZADA NACIONAL,11,11-CENTRAL,35,35-YPANE,0,0-YPANE,1,1-REGISTRO ELECTORAL DE YPANE,1,NORMAL,53230115
231,PARTIDO CRUZADA NACIONAL,12,12-ÑEEMBUCU ,0,0-PILAR ,0,0-PILAR ,1,1-ESCUELA JUAN PABLO II,1,NORMAL,51815581
231,PARTIDO CRUZADA NACIONAL,13,13-AMAMBAY,0,0-PEDRO J. CABALLERO,0,0-PEDRO J. CABALLERO,1,1-ESC. BASICA Nº 458 MARISCAL FRANCISCO SOLANO LOPEZ,1,NORMAL,76214850
231,PARTIDO CRUZADA NACIONAL,14,14-CANINDEYU,0,0-SALTO DEL GUAIRA,0,0-SALTO DEL GUAIRA,1,1-COL. NAC. DE S.D.G.,1,NORMAL,38240134
231,PARTIDO CRUZADA NACIONAL,15,15-PRESIDENTE HAYES,0,0-VILLA HAYES,0,0-VILLA HAYES,1,1-ESC. DR. RAUL PEÑA,1,NORMAL,58095379
232,MOVIMIENTO POLÍTICO NUEVOS AIRES PARA EL ALTO PARANÁ ,10,10-ALTO PARANA,0,0-CIUDAD DEL ESTE,0,0-CIUDAD DEL ESTE,1,1-POLIDEPORTIVO MUNICIPAL DON CARLOS BARRETO SARUBBI,1,NORMAL,36296605
233,MOVIMIENTO POLÍTICO NUEVA REPÚBLICA,0,0-CAPITAL,0,0-ASUNCION,0,0-ASUNCION,1,1-LOCAL DEL MOVIMIENTO MNR,1,NORMAL,95106166
233,MOVIMIENTO POLÍTICO NUEVA REPÚBLICA,1,1-CONCEPCION,0,0-CONCEPCION,0,0-CONCEPCION,1,1-ESC. PRESIDENTE FRANCO  (EX-ESC. NORMAL),1,NORMAL,11003723
233,MOVIMIENTO POLÍTICO NUEVA REPÚBLICA,2,2-SAN PEDRO,0,0-SAN PEDRO DEL YCUAMANDYJU,0,0-SAN PEDRO DEL YCUAMANDYJU,1,1-ESCUELA N° 31 DON BRAULIO ZELADA ,1,NORMAL,19924275
233,MOVIMIENTO POLÍTICO NUEVA REPÚBLICA,3,3-CORDILLERA,0,0-CAACUPE,0,0-CAACUPE,1,1-SALON MUNICIPAL CAACUPE,1,NORMAL,30187885
233,MOVIMIENTO POLÍTICO NUEVA REPÚBLICA,4,4-GUAIRA,0,0-VILLARRICA,0,0-VILLARRICA,1,1-REGISTRO ELECTORAL VILLARRICA,1,NORMAL,28855044
233,MOVIMIENTO POLÍTICO NUEVA REPÚBLICA,5,5-CAAGUAZU,3,3-CAAGUAZU,0,0-CAAGUAZU,1,1-INSTITUTO DE FORMACION DOCENTE,1,NORMAL,20919202
233,MOVIMIENTO POLÍTICO NUEVA REPÚBLICA,6,6-CAAZAPA,13,13-SAN JUAN NEPOMUCENO,0,0-SAN JUAN NEPOMUCENO,1,1-COLEGIO JULIA ACOSTA DE GONZALEZ,1,NORMAL,45139812
233,MOVIMIENTO POLÍTICO NUEVA REPÚBLICA,7,7-ITAPUA,0,0-ENCARNACION ,0,0-ENCARNACION ,1,1-ESCUELA BASICA N° 65 REPUBLICA DE ARGENTINA ,1,NORMAL,71183476
